dG_cross,dG_cross_iASA,meas,meas_log,iptm,actifptm,ptm,confidence_score,ranking_score
3.0,2.0,53.0,53.0,11.0,36.0,25.0,29.0,29.0
40.0,57.0,46.0,46.0,21.0,13.0,36.0,17.0,17.0
21.0,12.0,54.0,54.0,90.0,84.0,41.0,79.0,79.0
42.0,39.0,49.0,49.0,53.0,89.0,108.0,98.0,98.0
25.0,18.0,50.0,50.0,9.0,25.0,3.0,11.0,11.0
39.0,24.0,41.0,41.0,17.0,50.0,65.0,51.0,51.0
44.0,52.0,60.0,60.0,88.0,93.0,99.0,95.0,95.0
58.0,44.0,59.0,59.0,76.0,28.0,39.0,28.0,28.0
111.0,109.0,47.0,47.0,107.0,82.0,93.0,85.0,85.0
61.0,66.0,51.0,51.0,56.0,105.0,118.0,109.0,109.0
32.0,25.0,43.0,43.0,71.0,17.0,80.0,31.0,31.0
55.0,40.0,44.0,44.0,36.0,11.0,34.0,15.0,15.0
66.0,59.0,42.0,42.0,54.0,81.0,26.0,69.0,69.0
116.0,116.0,48.0,48.0,75.0,79.0,57.0,77.0,77.0
62.0,54.0,55.0,55.0,63.0,61.0,39.0,57.0,57.0
49.0,42.0,79.0,79.0,29.0,45.0,27.0,35.0,35.0
99.0,86.0,77.0,77.0,79.0,17.0,30.0,18.0,18.0
77.0,79.0,61.0,61.0,111.0,97.0,103.0,99.0,99.0
79.0,84.0,63.0,63.0,25.0,52.0,21.0,38.0,38.0
56.0,48.0,75.0,75.0,42.0,49.0,78.0,51.0,51.0
4.0,6.0,70.0,70.0,51.0,126.0,90.0,120.0,120.0
59.0,60.0,69.0,69.0,122.0,109.0,90.0,108.0,108.0
127.0,128.0,64.0,64.0,82.0,100.0,132.0,115.0,115.0
23.0,23.0,78.0,78.0,80.0,50.0,52.0,46.0,46.0
75.0,69.0,67.0,67.0,124.0,112.0,131.0,119.0,119.0
34.0,43.0,74.0,74.0,14.0,2.0,4.0,2.0,2.0
97.0,95.0,65.0,65.0,26.0,6.0,32.0,9.0,9.0
74.0,71.0,71.0,71.0,109.0,62.0,49.0,61.0,61.0
52.0,45.0,68.0,68.0,40.0,13.0,69.0,27.0,27.0
102.0,105.0,72.0,72.0,55.0,69.0,82.0,73.0,73.0
81.0,80.0,80.0,80.0,95.0,97.0,79.0,92.0,92.0
139.0,139.0,73.0,73.0,132.0,138.0,133.0,138.0,138.0
19.0,19.0,66.0,66.0,48.0,38.0,69.0,42.0,42.0
35.0,46.0,76.0,76.0,58.0,52.0,61.0,51.0,51.0
76.0,62.0,62.0,62.0,18.0,38.0,7.0,21.0,21.0
129.0,130.0,88.0,88.0,100.0,83.0,100.0,88.0,88.0
63.0,56.0,98.0,98.0,40.0,73.0,47.0,69.0,69.0
38.0,41.0,90.0,90.0,6.0,69.0,21.0,55.0,55.0
16.0,4.0,81.0,81.0,64.0,55.0,46.0,51.0,51.0
24.0,14.0,82.0,82.0,77.0,67.0,97.0,75.0,75.0
28.0,36.0,95.0,95.0,112.0,79.0,89.0,83.0,83.0
17.0,26.0,85.0,85.0,68.0,89.0,51.0,84.0,84.0
70.0,64.0,86.0,86.0,113.0,99.0,76.0,95.0,95.0
54.0,63.0,91.0,91.0,120.0,124.0,123.0,125.0,125.0
112.0,112.0,89.0,89.0,96.0,38.0,55.0,39.0,39.0
128.0,126.0,97.0,97.0,69.0,115.0,104.0,112.0,112.0
114.0,113.0,96.0,96.0,67.0,76.0,19.0,63.0,63.0
15.0,17.0,94.0,94.0,108.0,93.0,116.0,101.0,101.0
80.0,73.0,87.0,87.0,71.0,22.0,19.0,18.0,18.0
30.0,30.0,99.0,99.0,110.0,122.0,114.0,120.0,120.0
86.0,87.0,84.0,84.0,35.0,36.0,94.0,48.0,48.0
122.0,123.0,92.0,92.0,116.0,131.0,98.0,131.0,131.0
126.0,127.0,100.0,100.0,135.0,129.0,134.0,129.0,129.0
67.0,76.0,93.0,93.0,106.0,76.0,30.0,67.0,67.0
50.0,37.0,83.0,83.0,31.0,25.0,82.0,36.0,36.0
83.0,82.0,104.0,104.0,84.0,47.0,100.0,61.0,61.0
134.0,134.0,108.0,108.0,123.0,118.0,128.0,120.0,120.0
140.0,140.0,109.0,109.0,134.0,106.0,106.0,105.0,105.0
88.0,81.0,106.0,106.0,118.0,119.0,112.0,118.0,118.0
68.0,77.0,119.0,119.0,115.0,120.0,120.0,123.0,123.0
51.0,61.0,101.0,101.0,83.0,62.0,65.0,66.0,66.0
105.0,104.0,113.0,113.0,12.0,34.0,16.0,25.0,25.0
78.0,72.0,118.0,118.0,45.0,104.0,43.0,95.0,95.0
103.0,98.0,116.0,116.0,27.0,57.0,57.0,57.0,57.0
133.0,133.0,111.0,111.0,139.0,140.0,139.0,140.0,140.0
47.0,47.0,103.0,103.0,126.0,123.0,129.0,126.0,126.0
53.0,27.0,117.0,117.0,38.0,87.0,38.0,81.0,81.0
92.0,90.0,115.0,115.0,127.0,133.0,137.0,133.0,133.0
138.0,138.0,107.0,107.0,99.0,127.0,122.0,127.0,127.0
95.0,93.0,114.0,114.0,87.0,103.0,113.0,102.0,102.0
107.0,108.0,120.0,120.0,137.0,134.0,136.0,134.0,134.0
31.0,29.0,110.0,110.0,73.0,76.0,69.0,77.0,77.0
96.0,96.0,105.0,105.0,117.0,112.0,125.0,117.0,117.0
121.0,122.0,112.0,112.0,60.0,111.0,43.0,104.0,104.0
98.0,106.0,102.0,102.0,28.0,55.0,23.0,39.0,39.0
130.0,131.0,123.0,123.0,97.0,93.0,24.0,79.0,79.0
135.0,135.0,122.0,122.0,133.0,132.0,120.0,132.0,132.0
106.0,103.0,133.0,133.0,130.0,128.0,124.0,128.0,128.0
136.0,136.0,125.0,125.0,91.0,93.0,55.0,85.0,85.0
72.0,75.0,135.0,135.0,102.0,114.0,109.0,112.0,112.0
104.0,102.0,132.0,132.0,57.0,117.0,63.0,111.0,111.0
119.0,118.0,131.0,131.0,119.0,124.0,119.0,124.0,124.0
123.0,119.0,136.0,136.0,140.0,139.0,140.0,139.0,139.0
132.0,129.0,128.0,128.0,129.0,62.0,126.0,91.0,91.0
65.0,74.0,126.0,126.0,23.0,121.0,10.0,114.0,114.0
117.0,120.0,140.0,140.0,121.0,75.0,52.0,73.0,73.0
120.0,121.0,139.0,139.0,128.0,135.0,138.0,135.0,135.0
64.0,68.0,124.0,124.0,131.0,137.0,127.0,137.0,137.0
91.0,100.0,129.0,129.0,125.0,108.0,65.0,102.0,102.0
131.0,132.0,121.0,121.0,101.0,43.0,61.0,42.0,42.0
108.0,107.0,127.0,127.0,105.0,110.0,76.0,105.0,105.0
125.0,124.0,130.0,130.0,138.0,130.0,135.0,130.0,130.0
124.0,125.0,138.0,138.0,136.0,136.0,130.0,136.0,136.0
109.0,111.0,134.0,134.0,114.0,107.0,106.0,109.0,109.0
110.0,110.0,137.0,137.0,86.0,116.0,104.0,115.0,115.0
