1DU6_1	1DU6_1
5HHX_1	5HI4_1
5HHX_1	5HI5_1
6I3G_1	6I3G_1
6N8E_1	6N8E_1
6H41_1	6H41_1
1BE9_1	1BE9_1
1BE9_1	1BFE_1
1BE9_1	5W72_1
1BE9_1	1TP3_1
1BE9_1	1TP5_1
1BE9_1	5MZ7_1
1BE9_1	5HFE_1
1BE9_1	5D13_1
1BE9_1	5HEB_1
1BE9_1	5HFB_1
1BE9_1	5HEY_1
1BE9_1	5HED_1
1BE9_1	5HF1_1
1BE9_1	5HFC_1
1BE9_1	5HFF_1
6LTA_1	6LTA_1
6LTA_1	6LTB_1
6LTA_1	6LTD_1
6LTA_1	6LTC_1
6VTJ_1	6VTJ_1
6VTJ_1	6VTZ_1
2KNH_1	2KNH_1
6TQ0_1	6TQ0_1
6TQ0_1	6TNO_1
6TQ0_1	6TNQ_1
6TQ0_1	4X3H_1
1BAL_1	1BAL_1
1BAL_1	1BBL_1
2N98_1	2N98_1
6OYF_1	6OYF_1
6OYF_1	6P1J_1
6OYF_1	6P3I_1
6OYF_1	6OZV_1
6OYF_1	6P4U_1
1XQH_1	1XQH_1
1XQH_1	2F69_1
1XQH_1	1O9S_1
1XQH_1	1H3I_1
1XQH_1	3CBM_1
1XQH_1	3CBO_1
1XQH_1	3CBP_1
1XQH_1	4J7I_1
1XQH_1	4J83_1
1XQH_1	3M53_1
1XQH_1	4J8O_1
1XQH_1	4J7F_1
1XQH_1	3VUZ_1
1XQH_1	3VV0_1
1XQH_1	4JLG_1
1XQH_1	3M54_1
1XQH_1	3M57_1
1XQH_1	5EG2_1
1XQH_1	3M55_1
1XQH_1	3M58_1
1XQH_1	3M59_1
1XQH_1	3M5A_1
1XQH_1	3M56_1
4BXU_1	4BXU_1
1X9T_1	1X9T_1
1X9T_1	2C9G_1
1X9T_1	2C9F_1
1X9T_1	1X9P_1
1X9T_1	6CGV_2
1BF8_1	1BF8_1
1IHJ_1	1IHJ_1
2W5Z_1	2W5Z_1
2W5Z_1	2W5Y_1
2W5Z_1	7BRE_2
1NM7_1	1NM7_1
4MZK_1	4MZK_1
4MZK_1	4MZJ_1
4MZK_1	4AOM_1
4MZK_1	4MZL_1
4MZK_1	4R1E_1
4MZK_1	5VT9_1
5NMY_1	5NMY_1
5NMY_1	4LXC_1
1KSQ_1	1KSQ_1
2Q2I_1	2Q2I_1
2Q2I_1	2Q2H_1
7E4W_1	7E4W_1
4C7N_2	4C7N_2
4C7N_2	4C7N_1
2LEP_1	2LEP_1
3KD7_1	3KD7_1
5V1T_1	5V1T_1
5V1T_1	5V1Q_1
5V1T_1	5V1S_1
3BF0_1	3BF0_1
3BF0_1	3BEZ_1
1J4K_1	1J4K_1
1J4K_1	1J4L_1
1J4K_1	1K2M_1
1J4K_1	1K2N_1
1J4K_1	1FHR_1
1J4K_1	1FHQ_1
1J4K_1	1DMZ_1
1J4K_1	1QU5_1
7JT8_1	7JT8_1
7JT8_1	6VR8_1
5T3D_1	5T3D_1
5T3D_1	5JA1_1
5T3D_1	5JA2_1
4PG9_2	4PG9_2
4PG9_2	1LD9_2
4PG9_2	3CVH_2
4PG9_2	2MHA_2
4PG9_2	6GB5_2
4PG9_2	4PGB_2
4PG9_2	4PGD_2
4PG9_2	4PGE_2
4PG9_2	4PGC_2
4PG9_2	4HS3_2
4PG9_2	2FWO_2
4PG9_2	5E8N_2
4PG9_2	2CLV_2
4PG9_2	2CLZ_2
4PG9_2	1K8D_2
4PG9_2	5E8P_2
4PG9_2	5E8O_3
4PG9_2	3QUK_2
4PG9_2	3QUL_2
4PG9_2	1RK0_2
4PG9_2	1RJY_2
4PG9_2	1RJZ_2
4PG9_2	1ZT1_2
4PG9_2	1ZT7_2
4PG9_2	1BII_2
4PG9_2	3FTG_2
4PG9_2	1KJ3_3
4PG9_2	1ZHB_2
4PG9_2	6L9M_2
4PG9_2	6L9N_2
4PG9_2	3FOL_2
4PG9_2	3FOM_2
4PG9_2	3FON_2
4PG9_2	6GB7_2
4PG9_2	6GB7_3
4PG9_2	6GB6_2
4PG9_2	1FFN_2
4PG9_2	1FO0_2
4PG9_2	1FFP_2
4PG9_2	1MHC_2
4PG9_2	1FFO_2
4PG9_2	2CKB_5
4PG9_2	5MZM_2
4PG9_2	1FG2_2
4PG9_2	1NAN_2
4PG9_2	1INQ_2
4PG9_2	1T0N_2
4PG9_2	1T0M_2
4PG9_2	1JUF_2
4PG9_2	1OSZ_2
4PG9_2	1VAC_2
4PG9_2	1VAD_2
4PG9_2	1BZ9_2
4PG9_2	1S7Q_2
4PG9_2	1S7R_2
4PG9_2	1S7S_2
4PG9_2	1S7T_2
4PG9_2	1S7X_2
4PG9_2	1S7U_2
4PG9_2	1S7W_2
4PG9_2	3BUY_2
4PG9_2	1S7V_2
4PG9_2	4ZUS_2
4PG9_2	4ZUW_2
4PG9_2	4ZUT_2
4PG9_2	4ZUU_2
4PG9_2	4ZUV_2
4PG9_2	1N5A_2
4PG9_2	1N59_2
4PG9_2	1KJM_2
4PG9_2	3E6H_2
4PG9_2	1KJV_2
4PG9_2	4L8D_2
4PG9_2	1ED3_2
4PG9_2	3WS6_2
4PG9_2	3WS3_2
4PG9_2	3PWU_2
4PG9_2	3CC5_2
4PG9_2	3CCH_2
4PG9_2	3CH1_2
4PG9_2	3VJ6_2
4PG9_2	3L3H_2
4PG9_2	1G6R_4
4PG9_2	1HOC_2
4PG9_2	6H6H_2
4PG9_2	6H6D_2
4PG9_2	7LFL_2
4PG9_2	7LFM_2
4PG9_2	7LFK_2
4PG9_2	7LFJ_2
4PG9_2	7LFI_2
4PG9_2	4PV8_2
4PG9_2	4PV9_2
4PG9_2	1N3N_2
4PG9_2	2VAB_2
4PG9_2	2VAA_2
4PG9_2	1P1Z_2
4PG9_2	3ECB_2
4PG9_2	5J6H_2
4PG9_2	5J6G_2
4PG9_2	3P4N_2
4PG9_2	4IHO_2
4PG9_2	3P9L_2
4PG9_2	3P9M_2
4PG9_2	3PAB_2
4PG9_2	1YN6_2
4PG9_2	5KD4_2
4PG9_2	5KD7_2
4PG9_2	5T7G_2
4PG9_2	3P4M_2
4PG9_2	6NF7_2
4PG9_2	1YN7_2
4PG9_2	2OL3_4
4PG9_2	4NSK_2
4PG9_2	3PQY_2
4PG9_2	3P4O_2
4PG9_2	1WBX_2
4PG9_2	1WBZ_2
4PG9_2	1WBY_2
4PG9_2	1BQH_2
4PG9_2	3RGV_4
4PG9_2	5IVX_2
4PG9_2	1JPF_2
4PG9_2	1JPG_2
4PG9_2	1QO3_2
4PG9_2	2ZSW_2
4PG9_2	2ZSV_2
4PG9_2	4PG2_2
4PG9_2	3DMM_2
4PG9_2	7JI2_2
4PG9_2	5JWD_2
4PG9_2	5JWE_2
4PG9_2	3ROO_2
4PG9_2	3CPL_2
4PG9_2	5TIL_2
4PG9_2	3TBS_2
4PG9_2	3TBY_2
4PG9_2	3TBT_2
4PG9_2	3TBV_2
4PG9_2	3ROL_2
4PG9_2	3TBW_2
4PG9_2	8P43_2
4PG9_2	8UMO_2
4PG9_2	8TQ8_2
4PG9_2	6AT5_2
4PG9_2	4I4W_2
4PG9_2	6TDR_2
4PG9_2	6TDS_2
4PG9_2	1OGT_2
4PG9_2	1DUY_2
4PG9_2	1OF2_2
4PG9_2	2HN7_2
4PG9_2	4JQX_2
4PG9_2	4JQV_2
4PG9_2	2BCK_2
4PG9_2	7MJ6_2
4PG9_2	7MJ7_2
4PG9_2	7MJA_2
4PG9_2	1X7Q_2
4PG9_2	7MJ8_2
4PG9_2	3B6S_2
4PG9_2	4MNQ_2
4PG9_2	7MJ9_2
4PG9_2	6Q3S_2
4PG9_2	1JGD_2
4PG9_2	1DUZ_2
4PG9_2	5F1I_2
4PG9_2	5C0A_2
4PG9_2	5OPI_2
4PG9_2	3KYN_2
4PG9_2	3KYO_2
4PG9_2	3B3I_2
4PG9_2	4LNR_2
4PG9_2	2AK4_2
4PG9_2	1S8D_2
4PG9_2	1T1W_2
4PG9_2	1T1X_2
4PG9_2	1T1Z_2
4PG9_2	1T20_2
4PG9_2	1T1Y_2
4PG9_2	1AO7_2
4PG9_2	4XXC_2
4PG9_2	1T21_2
4PG9_2	1T22_2
4PG9_2	1W0V_2
4PG9_2	1W0W_2
4PG9_2	6JP3_2
4PG9_2	5D9S_2
4PG9_2	5DDH_2
4PG9_2	1E27_2
4PG9_2	1E28_2
4PG9_2	3M1B_2
4PG9_2	2NW3_2
4PG9_2	3M17_2
4PG9_2	3H7B_2
4PG9_2	2CLR_2
4PG9_2	1QSF_2
4PG9_2	5JZI_2
4PG9_2	1QSE_2
4PG9_2	3IXA_2
4PG9_2	6JOZ_2
4PG9_2	3H9H_2
4PG9_2	1UXS_2
4PG9_2	1A9E_2
4PG9_2	1UXW_2
4PG9_2	1I4F_2
4PG9_2	1A9B_2
4PG9_2	1QRN_2
4PG9_2	1I1Y_2
4PG9_2	1I1F_2
4PG9_2	2HLA_2
4PG9_2	2XPG_2
4PG9_2	3D2U_2
4PG9_2	3QFD_2
4PG9_2	2NX5_2
4PG9_2	6GGM_2
4PG9_2	1I7R_2
4PG9_2	6GHN_2
4PG9_2	3VFR_2
4PG9_2	6GH4_2
4PG9_2	1M6O_2
4PG9_2	3VFS_2
4PG9_2	3H9S_2
4PG9_2	3VFT_2
4PG9_2	1HHH_2
4PG9_2	1HHJ_2
4PG9_2	1HHG_2
4PG9_2	1HHK_2
4PG9_2	1HHI_2
4PG9_2	2BVP_2
4PG9_2	3VFV_2
4PG9_2	3VFU_2
4PG9_2	2BVO_2
4PG9_2	3VFW_2
4PG9_2	2AV7_2
4PG9_2	2BVQ_2
4PG9_2	5EOT_2
4PG9_2	5F7D_2
4PG9_2	5FA3_2
4PG9_2	5FDW_2
4PG9_2	5FA4_2
4PG9_2	5F9J_2
4PG9_2	1HSA_2
4PG9_2	5ENW_2
4PG9_2	1N2R_2
4PG9_2	2AV1_2
4PG9_2	7EDO_2
4PG9_2	7EDO_4
4PG9_2	3QZW_2
4PG9_2	1I7T_2
4PG9_2	1I7U_2
4PG9_2	3D39_2
4PG9_2	3D3V_2
4PG9_2	6TDO_2
4PG9_2	6TDP_2
4PG9_2	6TDQ_2
4PG9_2	1JF1_2
4PG9_2	6VM8_4
4PG9_2	1JHT_2
4PG9_2	3NFN_2
4PG9_2	6J2E_2
4PG9_2	6J2G_2
4PG9_2	3LV3_2
4PG9_2	3C9N_2
4PG9_2	6J2J_2
4PG9_2	6RSY_2
4PG9_2	2CII_2
4PG9_2	6K7T_2
4PG9_2	6J2I_2
4PG9_2	6J2H_2
4PG9_2	5GRD_2
4PG9_2	5GRG_2
4PG9_2	2H6P_2
4PG9_2	5GSD_2
4PG9_2	1QR1_2
4PG9_2	3RL1_2
4PG9_2	3RL2_2
4PG9_2	2F53_2
4PG9_2	6EQB_2
4PG9_2	6EQA_2
4PG9_2	2F54_2
4PG9_2	3TID_2
4PG9_2	3TIE_2
4PG9_2	3BW9_2
4PG9_2	3BWA_2
4PG9_2	7N6D_2
4PG9_2	6RP9_2
4PG9_2	6RPA_2
4PG9_2	6V2Q_2
4PG9_2	6RPB_2
4PG9_2	6V2P_2
4PG9_2	6V2O_2
4PG9_2	4JFQ_2
4PG9_2	1AGD_2
4PG9_2	4JFO_2
4PG9_2	6J1W_3
4PG9_2	6J29_3
4PG9_2	6J1V_2
4PG9_2	6J2A_2
4PG9_2	4JFP_2
4PG9_2	3REW_2
4PG9_2	1ZSD_2
4PG9_2	4GKS_2
4PG9_2	4GKN_2
4PG9_2	5WER_2
4PG9_2	1SYS_2
4PG9_2	1XR8_2
4PG9_2	1XR9_2
4PG9_2	3FT2_2
4PG9_2	3MRD_2
4PG9_2	3MRE_2
4PG9_2	3MRG_2
4PG9_2	3MRH_2
4PG9_2	3MRL_2
4PG9_2	3MRO_2
4PG9_2	3MRC_2
4PG9_2	3MRR_2
4PG9_2	4Z76_2
4PG9_2	4Z78_2
4PG9_2	4WDI_2
4PG9_2	5C07_2
4PG9_2	5C08_2
4PG9_2	5C09_2
4PG9_2	5C0B_2
4PG9_2	5C0C_2
4PG9_2	5C0E_2
4PG9_2	5C0G_2
4PG9_2	5C0I_2
4PG9_2	5C0J_2
4PG9_2	5N1Y_2
4PG9_2	5C0D_2
4PG9_2	4HWZ_2
4PG9_2	5C0F_2
4PG9_2	7N6E_2
4PG9_2	1BD2_2
4PG9_2	5MEN_2
4PG9_2	5MEO_2
4PG9_2	5MEQ_2
4PG9_2	5MEP_2
4PG9_2	5MER_2
4PG9_2	6TRN_2
4PG9_2	6TRO_2
4PG9_2	5IB2_2
4PG9_2	6V3J_2
4PG9_2	3GSO_2
4PG9_2	4O2E_2
4PG9_2	4O2F_2
4PG9_2	4HX1_2
4PG9_2	4I48_2
4PG9_2	1JGE_2
4PG9_2	1K5N_2
4PG9_2	3WUW_2
4PG9_2	4WJ5_2
4PG9_2	5GSR_1
4PG9_2	6PTB_2
4PG9_2	6PTE_2
4PG9_2	6OPD_2
4PG9_2	5IB4_2
4PG9_2	5W67_2
4PG9_2	5W6A_2
4PG9_2	5W69_2
4PG9_2	5GR7_2
4PG9_2	5GSV_2
4PG9_2	5GSX_2
4PG9_2	5GSB_2
4PG9_2	5IB5_2
4PG9_2	3GSQ_2
4PG9_2	3GSR_2
4PG9_2	3GSU_2
4PG9_2	3GSV_2
4PG9_2	3OX8_2
4PG9_2	3OXR_2
4PG9_2	5IB3_2
4PG9_2	5DEG_2
4PG9_2	3GSX_2
4PG9_2	3OXS_2
4PG9_2	1TVB_2
4PG9_2	1TVH_2
4PG9_2	3GSW_2
4PG9_2	4JFF_2
4PG9_2	4JFD_2
4PG9_2	4JFE_2
4PG9_2	3HPJ_2
4PG9_2	3BXN_2
4PG9_2	6SS7_2
4PG9_2	6SS8_2
4PG9_2	6SSA_2
4PG9_2	5DEF_2
4PG9_2	6SS9_2
4PG9_2	4O2C_2
4PG9_2	5IB1_2
4PG9_2	5U98_2
4PG9_2	3BP4_2
4PG9_2	3BP7_2
4PG9_2	2A83_2
4PG9_2	1B0R_2
4PG9_2	1M05_2
4PG9_2	6IEX_2
4PG9_2	1EEZ_2
4PG9_2	6GH1_2
4PG9_2	6GL1_2
4PG9_2	1A1M_2
4PG9_2	1MHE_2
4PG9_2	3MYJ_2
4PG9_2	3FT4_2
4PG9_2	3FT3_2
4PG9_2	6BXQ_3
4PG9_2	3LN4_2
4PG9_2	3BVN_2
4PG9_2	3LN5_2
4PG9_2	3KPN_2
4PG9_2	3KPL_2
4PG9_2	3KPP_2
4PG9_2	3L3I_2
4PG9_2	3L3D_2
4PG9_2	3SPV_2
4PG9_2	3L3G_2
4PG9_2	3I6L_2
4PG9_2	3CZF_2
4PG9_2	1A1O_2
4PG9_2	2X4Q_2
4PG9_2	7LGD_2
4PG9_2	7LGT_2
4PG9_2	2X4P_2
4PG9_2	6R2L_2
4PG9_2	3PWL_2
4PG9_2	6BXP_2
4PG9_2	3L3J_2
4PG9_2	3L3K_2
4PG9_2	1AGB_2
4PG9_2	1AGF_2
4PG9_2	1AGE_2
4PG9_2	1EEY_2
4PG9_2	2X4T_2
4PG9_2	3VRJ_2
4PG9_2	3VRI_2
4PG9_2	6NPR_2
4PG9_2	1AGC_2
4PG9_2	6BJ8_2
4PG9_2	6D29_2
4PG9_2	6D2R_2
4PG9_2	6BJ3_2
4PG9_2	6D2B_2
4PG9_2	6D2T_2
4PG9_2	3VFM_2
4PG9_2	3VFN_2
4PG9_2	3VFO_2
4PG9_2	3VFP_2
4PG9_2	1A1N_2
4PG9_2	3SKM_2
4PG9_2	1B0G_2
4PG9_2	6O9C_2
4PG9_2	2GT9_2
4PG9_2	2F74_2
4PG9_2	2CIK_2
4PG9_2	2P5W_2
4PG9_2	2PYE_2
4PG9_2	2P5E_2
4PG9_2	3PWN_2
4PG9_2	2GUO_2
4PG9_2	6O9B_2
4PG9_2	3KPS_2
4PG9_2	2X70_2
4PG9_2	3PWJ_2
4PG9_2	2GTW_2
4PG9_2	2GTZ_2
4PG9_2	3KWW_2
4PG9_2	1KPR_2
4PG9_2	1KTL_2
4PG9_2	2X4U_2
4PG9_2	3VCL_2
4PG9_2	4JRX_2
4PG9_2	4JRY_2
4PG9_2	3PWP_2
4PG9_2	2X4O_2
4PG9_2	3QDG_2
4PG9_2	3QDJ_2
4PG9_2	3QEQ_2
4PG9_2	3QDM_2
4PG9_2	6UZM_2
4PG9_2	6UZN_2
4PG9_2	6UZQ_2
4PG9_2	6VB1_2
4PG9_2	6VB3_2
4PG9_2	6VB2_2
4PG9_2	6UZO_2
4PG9_2	4F7P_2
4PG9_2	6VB5_2
4PG9_2	6VB7_2
4PG9_2	6VIU_2
4PG9_2	6VB6_2
4PG9_2	5E9D_2
4PG9_2	6UZS_2
4PG9_2	6VB4_2
4PG9_2	6VB0_2
4PG9_2	6UZP_2
4PG9_2	6M24_2
4PG9_2	6M2J_2
4PG9_2	6M2K_2
4PG9_2	4F7T_2
4PG9_2	4F7M_2
4PG9_2	3RWC_2
4PG9_2	3RWD_2
4PG9_2	3RWE_2
4PG9_2	3RWF_2
4PG9_2	3RWG_2
4PG9_2	3RWI_2
4PG9_2	3RWH_2
4PG9_2	3RWJ_2
4PG9_2	4U1I_2
4PG9_2	4U1K_2
4PG9_2	4U1H_2
4PG9_2	4U1M_2
4PG9_2	4U1S_2
4PG9_2	4U1L_2
4PG9_2	4U1J_2
4PG9_2	6UJO_2
4PG9_2	4U1N_2
4PG9_2	6UJQ_2
4PG9_2	7N1A_2
4PG9_2	7N1B_2
4PG9_2	4L3E_2
4PG9_2	7JWI_2
4PG9_2	2X4S_2
4PG9_2	3BO8_2
4PG9_2	6G3K_2
4PG9_2	6G3J_2
4PG9_2	3DTX_2
4PG9_2	2X4N_2
4PG9_2	3HCV_2
4PG9_2	2HJL_2
4PG9_2	2HJK_2
4PG9_2	1MI5_2
4PG9_2	5VGE_2
4PG9_2	5WJL_2
4PG9_2	6VR1_2
4PG9_2	6VR5_2
4PG9_2	6EI2_2
4PG9_2	6Y26_2
4PG9_2	6Y29_2
4PG9_2	6Y2A_2
4PG9_2	6Y2B_2
4PG9_2	6Y27_2
4PG9_2	6Y28_2
4PG9_2	3BZE_2
4PG9_2	3BZF_2
4PG9_2	2GIT_2
4PG9_2	3UPR_3
4PG9_2	6AVF_1
4PG9_2	6AVG_1
4PG9_2	6JTN_2
4PG9_2	6JTP_2
4PG9_2	7N1F_4
4PG9_2	6Q3K_2
4PG9_2	6NCA_3
4PG9_2	7N1E_2
4PG9_2	6UK4_2
4PG9_2	2GJ6_2
4PG9_2	6AMT_2
4PG9_2	5WMO_2
4PG9_2	5WMR_2
4PG9_2	5WMN_2
4PG9_2	5WMP_2
4PG9_2	6UK2_2
4PG9_2	4QOK_2
4PG9_2	1XH3_2
4PG9_2	2BNQ_2
4PG9_2	2BNR_2
4PG9_2	5VUD_2
4PG9_2	5VUE_2
4PG9_2	5VUF_2
4PG9_2	5VWD_2
4PG9_2	5VVP_2
4PG9_2	5VWF_2
4PG9_2	5VWJ_2
4PG9_2	5IEK_2
4PG9_2	6AM5_2
4PG9_2	6AMU_2
4PG9_2	5VWH_2
4PG9_2	7NUI_2
4PG9_2	5WMQ_2
4PG9_2	3GJF_2
4PG9_2	3HAE_2
4PG9_2	5BJT_2
4PG9_2	6VM7_4
4PG9_2	6VMC_4
4PG9_2	6VMA_2
4PG9_2	6VM9_2
4PG9_2	3UTQ_2
4PG9_2	3UTT_2
4PG9_2	1QQD_2
4PG9_2	2AXF_2
4PG9_2	2AXG_2
4PG9_2	3UTS_2
4PG9_2	6Z9V_2
4PG9_2	6Z9W_2
4PG9_2	6Z9X_2
4PG9_2	3GSN_3
4PG9_2	6PYL_2
4PG9_2	7K80_2
4PG9_2	7K81_2
4PG9_2	6PYJ_2
4PG9_2	6PZ5_2
4PG9_2	1S9X_2
4PG9_2	1S9W_2
4PG9_2	7ALO_2
4PG9_2	1S9Y_2
4PG9_2	1TMC_2
4PG9_2	5IEH_2
4PG9_2	6PYV_2
4PG9_2	6PYW_2
4PG9_2	1HSB_2
4PG9_2	1SYV_2
4PG9_2	5NMG_2
4PG9_2	5NMF_2
4PG9_2	5NMK_2
4PG9_2	5NMH_2
4PG9_2	5NME_2
4PG9_2	1AKJ_2
4PG9_2	6PBH_2
4PG9_2	3KPQ_2
4PG9_2	3KPM_2
4PG9_2	3KPO_2
4PG9_2	3KPR_2
4PG9_2	2J8U_2
4PG9_2	2UWE_2
4PG9_2	6TMO_2
4PG9_2	2JCC_2
4PG9_2	5T6W_2
4PG9_2	5T6X_2
4PG9_2	5T6Y_2
4PG9_2	5T6Z_2
4PG9_2	5T70_2
4PG9_2	4NT6_2
4PG9_2	5NQK_2
4PG9_2	5YXU_4
4PG9_2	2BSR_2
4PG9_2	2BSS_2
4PG9_2	5EU4_2
4PG9_2	5EU6_2
4PG9_2	2BST_2
4PG9_2	5EU5_2
4PG9_2	5EU3_2
4PG9_2	5V5L_2
4PG9_2	5V5M_2
4PG9_2	6DKP_2
4PG9_2	4MJI_2
4PG9_2	5NHT_2
4PG9_2	1EFX_2
4PG9_2	1ZHL_2
4PG9_2	1ZHK_2
4PG9_2	6D78_2
4PG9_2	6UZ1_2
4PG9_2	6EWA_2
4PG9_2	6EWC_2
4PG9_2	6EWO_2
4PG9_2	1IM3_2
4PG9_2	1W72_2
4PG9_2	3VH8_2
4PG9_2	1ZVS_2
4PG9_2	1YDP_2
4PG9_2	1ZS8_2
4PG9_2	3CDG_2
4PG9_2	3KXF_2
4PG9_2	4FTV_2
4PG9_2	3BGM_2
4PG9_2	3BHB_2
4PG9_2	3BH9_2
4PG9_2	3BH8_2
4PG9_2	5XOV_2
4PG9_2	5W1V_2
4PG9_2	5W1W_2
4PG9_2	6MPP_3
4PG9_2	3HG1_2
4PG9_2	3O4L_2
4PG9_2	3SKO_2
4PG9_2	3SJV_2
4PG9_2	5JHD_2
4PG9_2	5ISZ_2
4PG9_2	3KLA_2
4PG9_2	5TEZ_3
4PG9_2	7BYD_2
4PG9_2	2X4R_2
4PG9_2	2V2W_2
4PG9_2	2V2X_2
4PG9_2	4QRS_2
4PG9_2	4QRT_2
4PG9_2	5HGA_2
4PG9_2	5HGB_2
4PG9_2	5HGD_2
4PG9_2	4QRU_2
4PG9_2	5HGH_2
4PG9_2	5D2L_2
4PG9_2	5D2N_4
4PG9_2	5E00_2
4PG9_2	5WSH_2
4PG9_2	1OGA_2
4PG9_2	3DX6_2
4PG9_2	3DX8_2
