job_id,model_name,seed_id,sample_id,original_iptm,original_ptm,actifptm,iptm,ptm,confidence_score,original_confidence_score,ranking_score,original_ranking_score
8c5l_C,af3,2,9,0.38,0.61,0.4431,0.3811,0.6145,0.4774,0.4278,0.4924,0.4428
8c5l_C,af3,3,0,0.36,0.62,0.4097,0.3557,0.6241,0.4526,0.4094,0.4676,0.4244
8c5l_C,af3,3,1,0.34,0.64,0.3977,0.3378,0.6434,0.4468,0.3989,0.4618,0.4139
8c5l_C,af3,3,2,0.32,0.62,0.3883,0.32,0.625,0.4356,0.381,0.4506,0.396
8c5l_C,af3,3,3,0.33,0.65,0.4012,0.3314,0.6466,0.4503,0.3944,0.4653,0.4094
8c5l_C,af3,3,4,0.31,0.62,0.3625,0.3112,0.6227,0.4145,0.3735,0.4295,0.3885
8c5l_C,af3,3,5,0.33,0.64,0.3846,0.3349,0.6444,0.4366,0.3968,0.4516,0.4118
8c5l_C,af3,3,6,0.35,0.62,0.3947,0.3465,0.6237,0.4405,0.4019,0.4555,0.4169
8c5l_C,af3,3,7,0.33,0.62,0.3844,0.3288,0.6249,0.4325,0.388,0.4475,0.403
8c5l_C,af3,3,8,0.33,0.62,0.3863,0.3314,0.6236,0.4338,0.3898,0.4488,0.4048
8c5l_C,af3,3,9,0.26,0.65,0.2669,0.2585,0.6489,0.3433,0.3366,0.3583,0.3516
8c5l_C,af3,4,0,0.42,0.64,0.5041,0.4242,0.641,0.5315,0.4676,0.5465,0.4826
8c5l_C,af3,4,1,0.44,0.64,0.5166,0.4435,0.6406,0.5414,0.4829,0.5564,0.4979
8c5l_C,af3,4,2,0.43,0.64,0.5106,0.4299,0.6449,0.5375,0.4729,0.5525,0.4879
8c5l_C,af3,4,3,0.42,0.63,0.5276,0.4211,0.6339,0.5489,0.4637,0.5639,0.4787
8c5l_C,af3,4,4,0.43,0.65,0.4968,0.4289,0.6503,0.5275,0.4732,0.5425,0.4882
8c5l_C,af3,4,5,0.44,0.62,0.5229,0.4435,0.6156,0.5414,0.4779,0.5564,0.4929
8c5l_C,af3,4,6,0.46,0.65,0.5253,0.4571,0.6472,0.5497,0.4951,0.5647,0.5101
8c5l_C,af3,4,7,0.45,0.64,0.5248,0.4513,0.6378,0.5474,0.4886,0.5624,0.5036
8c5l_C,af3,4,8,0.45,0.61,0.5249,0.4529,0.6062,0.5412,0.4836,0.5562,0.4986
8c5l_C,af3,4,9,0.43,0.65,0.5044,0.433,0.6528,0.5341,0.477,0.5491,0.492
8c5l_C,af3,5,0,0.4,0.63,0.4768,0.3981,0.6278,0.507,0.444,0.522,0.459
8c5l_C,af3,5,1,0.4,0.65,0.4702,0.4021,0.6536,0.5069,0.4524,0.5219,0.4674
8c5l_C,af3,5,2,0.36,0.64,0.4285,0.363,0.643,0.4714,0.419,0.4864,0.434
8c5l_C,af3,5,3,0.38,0.65,0.4546,0.3776,0.6477,0.4932,0.4316,0.5082,0.4466
8c5l_C,af3,5,4,0.36,0.66,0.4416,0.3559,0.6592,0.4851,0.4166,0.5001,0.4316
8c5l_C,af3,5,5,0.36,0.64,0.4159,0.3627,0.6437,0.4615,0.4189,0.4765,0.4339
8c5l_C,af3,5,6,0.36,0.64,0.4083,0.3571,0.6429,0.4552,0.4143,0.4702,0.4293
8c5l_C,af3,5,7,0.36,0.64,0.4133,0.3591,0.6446,0.4596,0.4162,0.4746,0.4312
8c5l_C,af3,5,8,0.36,0.62,0.4245,0.3607,0.6212,0.4638,0.4128,0.4788,0.4278
8c5l_C,af3,5,9,0.35,0.64,0.4067,0.352,0.642,0.4538,0.41,0.4688,0.425
8c5l_C,af3,6,0,0.38,0.64,0.4379,0.3757,0.6449,0.4793,0.4295,0.4943,0.4445
8c5l_C,af3,6,1,0.37,0.64,0.4353,0.3731,0.6449,0.4772,0.4275,0.4922,0.4425
8c5l_C,af3,6,2,0.38,0.64,0.4795,0.3759,0.6436,0.5123,0.4294,0.5273,0.4444
8c5l_C,af3,6,3,0.39,0.6,0.4729,0.3862,0.5968,0.4977,0.4283,0.5127,0.4433
8c5l_C,af3,6,4,0.38,0.64,0.459,0.38,0.6445,0.4961,0.4329,0.5111,0.4479
8c5l_C,af3,6,5,0.38,0.65,0.4447,0.3753,0.6462,0.485,0.4295,0.5,0.4445
8c5l_C,af3,6,6,0.38,0.62,0.4511,0.3791,0.6247,0.4858,0.4282,0.5008,0.4432
8c5l_C,af3,6,7,0.38,0.65,0.4339,0.3766,0.6453,0.4762,0.4303,0.4912,0.4453
8c5l_C,af3,6,8,0.39,0.65,0.4708,0.393,0.65,0.5066,0.4444,0.5216,0.4594
8c5l_C,af3,6,9,0.35,0.65,0.4182,0.3542,0.6462,0.4638,0.4126,0.4788,0.4276
8c5l_C,af3,7,0,0.42,0.64,0.5165,0.4199,0.6441,0.542,0.4647,0.557,0.4797
8c5l_C,af3,7,1,0.42,0.65,0.5051,0.4232,0.6473,0.5335,0.468,0.5485,0.483
8c5l_C,af3,7,2,0.44,0.66,0.5232,0.4363,0.6619,0.5509,0.4814,0.5659,0.4964
8c5l_C,af3,7,3,0.41,0.64,0.5081,0.4128,0.6395,0.5344,0.4581,0.5494,0.4731
8c5l_C,af3,7,4,0.43,0.65,0.5104,0.4261,0.6481,0.5379,0.4705,0.5529,0.4855
8c5l_C,af3,7,5,0.41,0.65,0.4778,0.414,0.6497,0.5122,0.4611,0.5272,0.4761
8c5l_C,af3,7,6,0.42,0.64,0.5073,0.416,0.645,0.5348,0.4618,0.5498,0.4768
8c5l_C,af3,7,7,0.43,0.66,0.533,0.4321,0.6642,0.5592,0.4785,0.5742,0.4935
8c5l_C,af3,7,8,0.41,0.65,0.5046,0.4113,0.6496,0.5336,0.459,0.5486,0.474
8c5l_C,af3,7,9,0.44,0.67,0.5375,0.4402,0.6673,0.5635,0.4856,0.5785,0.5006
8c5l_C,af3,8,0,0.31,0.66,0.3727,0.3148,0.6642,0.431,0.3847,0.446,0.3997
8c5l_C,af3,8,1,0.33,0.64,0.3749,0.3338,0.6434,0.4286,0.3957,0.4436,0.4107
8c5l_C,af3,8,2,0.38,0.67,0.4308,0.3793,0.6659,0.4778,0.4366,0.4928,0.4516
8c5l_C,af3,8,3,0.33,0.65,0.3789,0.3321,0.6464,0.4324,0.395,0.4474,0.41
8c5l_C,af3,8,4,0.34,0.64,0.3799,0.338,0.6385,0.4316,0.3981,0.4466,0.4131
8c5l_C,af3,8,5,0.32,0.64,0.3656,0.3214,0.643,0.4211,0.3857,0.4361,0.4007
8c5l_C,af3,8,6,0.38,0.68,0.4256,0.3779,0.6783,0.4761,0.438,0.4911,0.453
8c5l_C,af3,8,7,0.34,0.64,0.3885,0.343,0.6406,0.4389,0.4025,0.4539,0.4175
8c5l_C,af3,8,8,0.33,0.64,0.3738,0.3333,0.6418,0.4274,0.395,0.4424,0.41
8c5l_C,af3,8,9,0.34,0.64,0.379,0.3369,0.6449,0.4322,0.3985,0.4472,0.4135
8c5l_C,af3,9,0,0.42,0.65,0.5031,0.4172,0.6463,0.5317,0.463,0.5467,0.478
8c5l_C,af3,9,1,0.44,0.61,0.5192,0.4363,0.6116,0.5377,0.4714,0.5527,0.4864
8c5l_C,af3,9,2,0.43,0.66,0.508,0.4323,0.6605,0.5385,0.4779,0.5535,0.4929
8c5l_C,af3,9,3,0.44,0.65,0.5152,0.4368,0.6498,0.5421,0.4794,0.5571,0.4944
8c5l_C,af3,9,4,0.44,0.66,0.5195,0.4352,0.6552,0.5466,0.4792,0.5616,0.4942
8c5l_C,af3,9,5,0.41,0.68,0.5236,0.4128,0.6755,0.554,0.4653,0.569,0.4803
8c5l_C,af3,9,6,0.43,0.64,0.5022,0.428,0.6424,0.5302,0.4709,0.5452,0.4859
8c5l_C,af3,9,7,0.42,0.64,0.5051,0.424,0.6439,0.5329,0.468,0.5479,0.483
8c5l_C,af3,9,8,0.44,0.65,0.529,0.441,0.6464,0.5525,0.4821,0.5675,0.4971
8c5l_C,af3,9,9,0.41,0.64,0.4979,0.4127,0.6428,0.5269,0.4587,0.5419,0.4737
8c5l_C,af3,10,0,0.41,0.64,0.496,0.4055,0.641,0.525,0.4526,0.54,0.4676
8c5l_C,af3,10,1,0.46,0.7,0.564,0.4595,0.7002,0.5912,0.5076,0.6062,0.5226
8c5l_C,af3,10,2,0.42,0.65,0.5098,0.4225,0.6478,0.5374,0.4676,0.5524,0.4826
8c5l_C,af3,10,3,0.44,0.63,0.5186,0.4391,0.6341,0.5417,0.4781,0.5567,0.4931
8c5l_C,af3,10,4,0.44,0.66,0.5041,0.4447,0.657,0.5347,0.4872,0.5497,0.5022
8c5l_C,af3,10,5,0.42,0.64,0.5094,0.4208,0.641,0.5357,0.4648,0.5507,0.4798
8c5l_C,af3,10,6,0.42,0.64,0.523,0.4207,0.6446,0.5473,0.4655,0.5623,0.4805
8c5l_C,af3,10,7,0.49,0.66,0.5632,0.4935,0.6567,0.5819,0.5261,0.5969,0.5411
8c5l_C,af3,10,8,0.44,0.66,0.5348,0.4359,0.6598,0.5598,0.4807,0.5748,0.4957
8c5l_C,af3,10,9,0.42,0.64,0.5029,0.4189,0.6431,0.5309,0.4637,0.5459,0.4787
8c5l_C,af3,42,0,0.44,0.65,0.5316,0.4439,0.6494,0.5552,0.485,0.5702,0.5
8c5l_C,af3,42,1,0.41,0.64,0.4842,0.4131,0.6437,0.5161,0.4592,0.5311,0.4742
8c5l_C,af3,42,2,0.45,0.65,0.5136,0.4505,0.6473,0.5403,0.4899,0.5503,0.4999
8c5l_C,af3,42,3,0.43,0.64,0.5048,0.4258,0.6371,0.5313,0.4681,0.5463,0.4831
8c5l_C,af3,42,4,0.43,0.64,0.5113,0.4335,0.6436,0.5378,0.4755,0.5528,0.4905
8c5l_C,af3,42,5,0.42,0.65,0.5074,0.4208,0.6458,0.5351,0.4658,0.5501,0.4808
8c5l_C,af3,42,6,0.43,0.64,0.5087,0.4266,0.6401,0.535,0.4693,0.55,0.4843
8c5l_C,af3,42,7,0.44,0.62,0.5048,0.4406,0.6232,0.5285,0.4771,0.5435,0.4921
8c5l_C,af3,42,8,0.44,0.68,0.5469,0.4437,0.6819,0.5739,0.4913,0.5839,0.5013
8c5l_C,af3,42,9,0.43,0.65,0.5117,0.4267,0.6485,0.5391,0.4711,0.5541,0.4861
8c5l_C,af3,777,0,0.44,0.63,0.5349,0.4366,0.6322,0.5544,0.4757,0.5694,0.4907
8c5l_C,af3,777,1,0.44,0.64,0.508,0.4372,0.6449,0.5354,0.4787,0.5504,0.4937
8c5l_C,af3,777,2,0.43,0.64,0.4936,0.4257,0.6446,0.5238,0.4695,0.5388,0.4845
8c5l_C,af3,777,3,0.42,0.65,0.4913,0.4194,0.6466,0.5224,0.4648,0.5374,0.4798
8c5l_C,af3,777,4,0.42,0.64,0.5015,0.4163,0.6441,0.53,0.4619,0.545,0.4769
8c5l_C,af3,777,5,0.42,0.65,0.5155,0.4208,0.6461,0.5416,0.4659,0.5566,0.4809
8c5l_C,af3,777,6,0.42,0.67,0.5219,0.4246,0.6661,0.5507,0.4729,0.5657,0.4879
8c5l_C,af3,777,7,0.41,0.64,0.4847,0.4141,0.6416,0.5161,0.4596,0.5311,0.4746
8c5l_C,af3,777,8,0.42,0.64,0.4963,0.4222,0.64,0.525,0.4658,0.54,0.4808
8c5l_C,af3,777,9,0.41,0.63,0.4881,0.4073,0.6339,0.5173,0.4526,0.5323,0.4676
8c5l_C,af3,25107,0,0.45,0.65,0.552,0.4538,0.6496,0.5715,0.493,0.5865,0.508
8c5l_C,af3,25107,1,0.41,0.66,0.4726,0.4061,0.6566,0.5094,0.4562,0.5244,0.4712
8c5l_C,af3,25107,2,0.4,0.64,0.4844,0.3952,0.644,0.5163,0.445,0.5313,0.46
8c5l_C,af3,25107,3,0.4,0.67,0.4922,0.4008,0.6741,0.5286,0.4555,0.5436,0.4705
8c5l_C,af3,25107,4,0.42,0.64,0.4883,0.4176,0.6442,0.5195,0.4629,0.5345,0.4779
8c5l_C,af3,25107,5,0.46,0.65,0.5376,0.4621,0.6463,0.5593,0.4989,0.5743,0.5139
8c5l_C,af3,25107,6,0.44,0.64,0.528,0.4364,0.6398,0.5504,0.4771,0.5654,0.4921
8c5l_C,af3,25107,7,0.41,0.64,0.4991,0.4073,0.6408,0.5274,0.454,0.5424,0.469
8c5l_C,af3,25107,8,0.43,0.64,0.5108,0.4335,0.6398,0.5366,0.4748,0.5516,0.4898
8c5l_C,af3,25107,9,0.4,0.66,0.4738,0.3972,0.6636,0.5118,0.4505,0.5268,0.4655
8c5l_C,af3,91791,0,0.38,0.65,0.4499,0.3834,0.6502,0.49,0.4368,0.505,0.4518
8c5l_C,af3,91791,1,0.24,0.64,0.2525,0.2429,0.6422,0.3304,0.3228,0.3454,0.3378
8c5l_C,af3,91791,2,0.38,0.64,0.4695,0.3796,0.6432,0.5042,0.4323,0.5192,0.4473
8c5l_C,af3,91791,3,0.38,0.64,0.4485,0.3838,0.643,0.4874,0.4356,0.5024,0.4506
8c5l_C,af3,91791,4,0.42,0.67,0.5078,0.4248,0.6672,0.5397,0.4733,0.5547,0.4883
8c5l_C,af3,91791,5,0.36,0.64,0.4384,0.3649,0.643,0.4793,0.4205,0.4943,0.4355
8c5l_C,af3,91791,6,0.23,0.62,0.242,0.2272,0.6166,0.3169,0.3051,0.3319,0.3201
8c5l_C,af3,91791,7,0.37,0.64,0.4311,0.3732,0.6409,0.4731,0.4267,0.4881,0.4417
8c5l_C,af3,91791,8,0.4,0.64,0.4593,0.3973,0.6445,0.4963,0.4467,0.5113,0.4617
8c5l_C,af3,91791,9,0.33,0.65,0.3974,0.3288,0.6456,0.447,0.3922,0.462,0.4072
8c5l_C,af3,34897,0,0.41,0.65,0.5058,0.4128,0.6497,0.5346,0.4602,0.5496,0.4752
8c5l_C,af3,34897,1,0.43,0.65,0.5163,0.427,0.6484,0.5427,0.4713,0.5577,0.4863
8c5l_C,af3,34897,2,0.42,0.64,0.4954,0.4155,0.6388,0.5241,0.4602,0.5391,0.4752
8c5l_C,af3,34897,3,0.43,0.66,0.5356,0.4332,0.6597,0.5604,0.4785,0.5754,0.4935
8c5l_C,af3,34897,4,0.42,0.66,0.4895,0.4187,0.6596,0.5235,0.4669,0.5385,0.4819
8c5l_C,af3,34897,5,0.42,0.65,0.4951,0.4201,0.649,0.5259,0.4659,0.5409,0.4809
8c5l_C,af3,34897,6,0.42,0.65,0.5161,0.4234,0.652,0.5433,0.4691,0.5583,0.4841
8c5l_C,af3,34897,7,0.42,0.65,0.4971,0.4225,0.6503,0.5277,0.4681,0.5427,0.4831
8c5l_C,af3,34897,8,0.41,0.65,0.5188,0.414,0.6461,0.5443,0.4604,0.5593,0.4754
8c5l_C,af3,34897,9,0.43,0.64,0.5313,0.4313,0.6447,0.554,0.474,0.569,0.489
8c5l_C,af3,9999,0,0.4,0.65,0.4855,0.4016,0.6461,0.5176,0.4505,0.5326,0.4655
8c5l_C,af3,9999,1,0.41,0.62,0.4992,0.4116,0.616,0.5226,0.4525,0.5376,0.4675
8c5l_C,af3,9999,2,0.4,0.65,0.4659,0.4041,0.6544,0.5036,0.4542,0.5186,0.4692
8c5l_C,af3,9999,3,0.44,0.63,0.5314,0.4418,0.6295,0.551,0.4793,0.566,0.4943
8c5l_C,af3,9999,4,0.45,0.67,0.5455,0.4516,0.6656,0.5695,0.4944,0.5845,0.5094
8c5l_C,af3,9999,5,0.41,0.65,0.4775,0.4116,0.6484,0.5117,0.459,0.5267,0.474
8c5l_C,af3,9999,6,0.49,0.65,0.5466,0.486,0.6514,0.5676,0.5191,0.5826,0.5341
8c5l_C,af3,9999,7,0.41,0.65,0.4843,0.4085,0.6477,0.517,0.4563,0.532,0.4713
8c5l_C,af3,9999,8,0.41,0.65,0.4763,0.4141,0.6491,0.5109,0.4611,0.5259,0.4761
8c5l_C,af3,9999,9,0.43,0.65,0.5027,0.4347,0.6467,0.5315,0.4771,0.5465,0.4921
8c5l_C,af3,100,0,0.42,0.65,0.5073,0.4211,0.6451,0.5349,0.4659,0.5499,0.4809
8c5l_C,af3,100,1,0.43,0.65,0.5391,0.4287,0.6519,0.5617,0.4733,0.5767,0.4883
8c5l_C,af3,100,2,0.44,0.64,0.5239,0.4424,0.6448,0.5481,0.4829,0.5631,0.4979
8c5l_C,af3,100,3,0.47,0.64,0.577,0.471,0.6424,0.5901,0.5053,0.6051,0.5203
8c5l_C,af3,100,4,0.45,0.65,0.5438,0.4534,0.6459,0.5642,0.4919,0.5792,0.5069
8c5l_C,af3,100,5,0.43,0.64,0.5327,0.4254,0.6427,0.5547,0.4689,0.5697,0.4839
8c5l_C,af3,100,6,0.42,0.64,0.5176,0.4249,0.644,0.5429,0.4687,0.5579,0.4837
8c5l_C,af3,100,7,0.45,0.64,0.5448,0.4524,0.6411,0.5641,0.4901,0.5791,0.5051
8c5l_C,af3,100,8,0.43,0.65,0.5331,0.433,0.6508,0.5566,0.4766,0.5716,0.4916
8c5l_C,af3,100,9,0.48,0.62,0.5749,0.4773,0.6156,0.583,0.505,0.598,0.52
8c5l_C,af3,52,0,0.39,0.65,0.4834,0.3944,0.6462,0.516,0.4448,0.531,0.4598
8c5l_C,af3,52,1,0.52,0.69,0.6278,0.5219,0.6881,0.6399,0.5551,0.6549,0.5701
8c5l_C,af3,52,2,0.41,0.64,0.4818,0.4138,0.6437,0.5142,0.4598,0.5292,0.4748
8c5l_C,af3,52,3,0.4,0.62,0.4691,0.3979,0.6153,0.4983,0.4414,0.5133,0.4564
8c5l_C,af3,52,4,0.39,0.64,0.4599,0.3942,0.6382,0.4956,0.443,0.5106,0.458
8c5l_C,af3,52,5,0.4,0.64,0.4726,0.3981,0.6374,0.5056,0.446,0.5206,0.461
8c5l_C,af3,52,6,0.35,0.64,0.4221,0.352,0.6403,0.4657,0.4097,0.4807,0.4247
8c5l_C,af3,52,7,0.41,0.64,0.4902,0.4129,0.6424,0.5206,0.4588,0.5356,0.4738
8c5l_C,af3,52,8,0.4,0.67,0.4904,0.3991,0.6677,0.5259,0.4528,0.5409,0.4678
8c5l_C,af3,52,9,0.42,0.64,0.4836,0.4193,0.6407,0.515,0.4636,0.53,0.4786
8c5l_C,af3,2025,0,0.42,0.63,0.4915,0.4152,0.6286,0.5189,0.4579,0.5339,0.4729
8c5l_C,af3,2025,1,0.46,0.65,0.5315,0.4597,0.653,0.5558,0.4984,0.5708,0.5134
8c5l_C,af3,2025,2,0.41,0.65,0.5004,0.4091,0.6451,0.5293,0.4563,0.5443,0.4713
8c5l_C,af3,2025,3,0.4,0.61,0.4855,0.3971,0.6138,0.5112,0.4404,0.5262,0.4554
8c5l_C,af3,2025,4,0.42,0.63,0.4962,0.4182,0.6284,0.5226,0.4602,0.5376,0.4752
8c5l_C,af3,2025,5,0.42,0.59,0.5067,0.4153,0.5911,0.5236,0.4505,0.5386,0.4655
8c5l_C,af3,2025,6,0.42,0.64,0.4918,0.4157,0.6426,0.522,0.4611,0.537,0.4761
8c5l_C,af3,2025,7,0.44,0.64,0.5253,0.4428,0.6428,0.5488,0.4828,0.5588,0.4928
8c5l_C,af3,2025,8,0.4,0.64,0.5048,0.4003,0.6434,0.5325,0.4489,0.5475,0.4639
8c5l_C,af3,2025,9,0.42,0.65,0.5207,0.4242,0.6476,0.5461,0.4689,0.5611,0.4839
8c5l_C,af3,1000,0,0.41,0.65,0.4927,0.4077,0.652,0.5246,0.4566,0.5396,0.4716
8c5l_C,af3,1000,1,0.4,0.64,0.4665,0.4036,0.6436,0.5019,0.4516,0.5169,0.4666
8c5l_C,af3,1000,2,0.41,0.64,0.4852,0.4107,0.6408,0.5163,0.4567,0.5313,0.4717
8c5l_C,af3,1000,3,0.43,0.64,0.4815,0.426,0.6425,0.5137,0.4693,0.5287,0.4843
8c5l_C,af3,1000,4,0.45,0.68,0.5326,0.4508,0.685,0.5631,0.4976,0.5781,0.5126
8c5l_C,af3,1000,5,0.41,0.64,0.4704,0.4078,0.6412,0.5046,0.4545,0.5196,0.4695
8c5l_C,af3,1000,6,0.41,0.64,0.4768,0.4129,0.6423,0.5099,0.4588,0.5249,0.4738
8c5l_C,af3,1000,7,0.56,0.65,0.6285,0.5633,0.6542,0.6336,0.5815,0.6486,0.5965
8c5l_C,af3,1000,8,0.42,0.64,0.4809,0.4173,0.6411,0.5129,0.4621,0.5279,0.4771
8c5l_C,af3,1000,9,0.43,0.67,0.5168,0.4287,0.6695,0.5473,0.4769,0.5623,0.4919
8ccz_C,af3,1,0,0.66,0.74,0.9534,0.6594,0.7367,0.9101,0.6749,0.9501,0.7149
8ccz_C,af3,1,1,0.64,0.71,0.9523,0.6413,0.7136,0.9046,0.6558,0.9446,0.6958
8ccz_C,af3,1,2,0.68,0.76,0.9583,0.6825,0.7582,0.9183,0.6976,0.9583,0.7376
8ccz_C,af3,1,3,0.67,0.75,0.9554,0.6732,0.7478,0.9139,0.6881,0.9539,0.7281
8ccz_C,af3,1,4,0.64,0.73,0.9509,0.6373,0.7347,0.9077,0.6568,0.9477,0.6968
8ccz_C,af3,1,5,0.64,0.73,0.9488,0.6358,0.731,0.9052,0.6548,0.9452,0.6948
8ccz_C,af3,1,6,0.62,0.7,0.9497,0.6171,0.701,0.9,0.6339,0.94,0.6739
8ccz_C,af3,1,7,0.65,0.73,0.9547,0.6539,0.7316,0.9101,0.6694,0.9501,0.7094
8ccz_C,af3,1,8,0.67,0.74,0.9557,0.6713,0.7438,0.9133,0.6858,0.9533,0.7258
8ccz_C,af3,1,9,0.62,0.7,0.9498,0.6201,0.6954,0.8989,0.6352,0.9389,0.6752
8ccz_C,af3,2,0,0.67,0.75,0.9466,0.6724,0.7491,0.9071,0.6877,0.9471,0.7277
8ccz_C,af3,2,1,0.7,0.79,0.958,0.7031,0.7867,0.9237,0.7198,0.9637,0.7598
8ccz_C,af3,2,2,0.7,0.78,0.9577,0.7042,0.7805,0.9223,0.7195,0.9623,0.7595
8ccz_C,af3,2,3,0.73,0.8,0.9602,0.7256,0.8028,0.9287,0.741,0.9687,0.781
8ccz_C,af3,2,4,0.73,0.8,0.9609,0.7295,0.8031,0.9293,0.7442,0.9693,0.7842
8ccz_C,af3,2,5,0.73,0.81,0.9635,0.7349,0.809,0.9326,0.7497,0.9726,0.7897
8ccz_C,af3,2,6,0.73,0.81,0.9612,0.7313,0.8054,0.93,0.7461,0.97,0.7861
8ccz_C,af3,2,7,0.72,0.79,0.959,0.7179,0.7924,0.9257,0.7328,0.9657,0.7728
8ccz_C,af3,2,8,0.71,0.79,0.96,0.7124,0.7897,0.9259,0.7279,0.9659,0.7679
8ccz_C,af3,2,9,0.71,0.79,0.9577,0.7117,0.7882,0.9238,0.727,0.9638,0.767
8ccz_C,af3,3,0,0.51,0.57,0.9386,0.5104,0.573,0.8655,0.5229,0.9055,0.5629
8ccz_C,af3,3,1,0.5,0.57,0.9361,0.4996,0.5658,0.862,0.5128,0.902,0.5528
8ccz_C,af3,3,2,0.52,0.58,0.941,0.5214,0.58,0.8688,0.5331,0.9088,0.5731
8ccz_C,af3,3,3,0.49,0.55,0.9352,0.4893,0.5529,0.8587,0.502,0.8987,0.542
8ccz_C,af3,3,4,0.53,0.6,0.9409,0.5318,0.5997,0.8727,0.5454,0.9127,0.5854
8ccz_C,af3,3,5,0.52,0.59,0.9398,0.5244,0.5888,0.8696,0.5373,0.9096,0.5773
8ccz_C,af3,3,6,0.46,0.52,0.9355,0.4597,0.5243,0.8533,0.4726,0.8933,0.5126
8ccz_C,af3,3,7,0.53,0.59,0.9435,0.5279,0.5858,0.872,0.5395,0.912,0.5795
8ccz_C,af3,3,8,0.46,0.52,0.9344,0.4599,0.5243,0.8524,0.4728,0.8924,0.5128
8ccz_C,af3,3,9,0.46,0.53,0.9332,0.4634,0.5288,0.8523,0.4765,0.8923,0.5165
8ccz_C,af3,4,0,0.64,0.7,0.9569,0.6366,0.704,0.9063,0.6501,0.9463,0.6901
8ccz_C,af3,4,1,0.6,0.68,0.9512,0.6015,0.6763,0.8962,0.6165,0.9362,0.6565
8ccz_C,af3,4,2,0.6,0.67,0.9496,0.5958,0.6691,0.8935,0.6105,0.9335,0.6505
8ccz_C,af3,4,3,0.62,0.7,0.952,0.6194,0.6957,0.9007,0.6347,0.9407,0.6747
8ccz_C,af3,4,4,0.45,0.52,0.9413,0.4536,0.5173,0.8565,0.4663,0.8965,0.5063
8ccz_C,af3,4,5,0.63,0.7,0.9534,0.6255,0.6997,0.9027,0.6403,0.9427,0.6803
8ccz_C,af3,4,6,0.62,0.69,0.9525,0.6231,0.6937,0.9007,0.6372,0.9407,0.6772
8ccz_C,af3,4,7,0.61,0.69,0.9525,0.6139,0.6866,0.8993,0.6284,0.9393,0.6684
8ccz_C,af3,4,8,0.62,0.69,0.9528,0.6199,0.6914,0.9005,0.6342,0.9405,0.6742
8ccz_C,af3,4,9,0.61,0.68,0.953,0.6125,0.6838,0.8992,0.6268,0.9392,0.6668
8ccz_C,af3,5,0,0.74,0.8,0.9734,0.7404,0.8012,0.939,0.7526,0.979,0.7926
8ccz_C,af3,5,1,0.75,0.81,0.974,0.7527,0.8125,0.9417,0.7647,0.9817,0.8047
8ccz_C,af3,5,2,0.75,0.81,0.9741,0.7525,0.8118,0.9416,0.7644,0.9816,0.8044
8ccz_C,af3,5,3,0.75,0.81,0.9743,0.7526,0.8109,0.9416,0.7643,0.9816,0.8043
8ccz_C,af3,5,4,0.77,0.83,0.9753,0.7716,0.83,0.9462,0.7833,0.9862,0.8233
