job_id,model_name,dG_separated,dG_cross,sc_value,nres_all,nres_int,total_score,binding_energy
8pwe_B,af3,46.4713,-30.0806,0.7594,249,37,-29.2137,-76.5519
8pwf_B,af3,66.1049,-21.849,0.7506,247,32,212.0189,-87.9539
8pwm_B,af3,93.5247,-20.7949,0.7711,248,36,332.4738,-114.3196
8pxx_B,af3,60.077,-20.926,0.6279,126,54,257.6753,-81.003
8pz6_B,af3,127.9508,-14.6733,0.724,248,35,611.0464,-142.6241
8pz7_B,af3,61.126,-26.4241,0.7853,247,33,346.1262,-87.5501
8pz8_B,af3,92.4211,-12.6996,0.7307,248,32,416.335,-105.1207
8pz9_B,af3,123.5827,-13.0288,0.7252,246,34,467.6983,-136.6115
8pzb_B,af3,50.9861,-25.4925,0.7064,247,33,374.6312,-76.4786
8q1h_C,af3,287.8551,-17.5674,0.5683,812,86,3859.2943,-305.4225
8q1q_D,af3,11.3092,-19.7443,0.7051,300,48,-594.233,-31.0535
8q1r_E,af3,14.1944,-19.4407,0.7184,297,50,-543.0394,-33.6351
8q26_E,af3,9.3203,-39.5825,0.6672,401,66,-519.0136,-48.9028
8q2z_C,af3,-8.0998,-51.2615,0.744,400,66,-619.0536,-43.161699999999996
8q3s_C,af3,11.236,-30.5759,0.684,398,66,-479.592,-41.8119
8q3t_C,af3,14.0759,-37.322,0.6871,403,71,-522.4825,-51.39790000000001
8q5p_B,af3,73.3823,-63.1538,0.7552,257,69,-51.5717,-136.5361
8q5s_B,af3,-18.195,-80.2461,0.7804,239,79,-437.9345,-62.0511
8q6d_B,af3,-20.6549,-86.6112,0.7732,240,80,-398.6339,-65.9563
8q6e_B,af3,-24.0971,-82.8978,0.7526,238,78,-378.5786,-58.800700000000006
8q7i_P,af3,1.605,-48.7091,0.7896,269,41,-379.0895,-50.314099999999996
8q7k_C,af3,17.962,-41.7903,0.7982,124,38,-66.1107,-59.752300000000005
8qlg_C,af3,12.8062,-47.4231,0.7786,630,58,-36.9057,-60.229299999999995
8qlk_B,af3,69.4295,-56.0716,0.6524,632,88,-353.6905,-125.50110000000001
8qlm_C,af3,58.5734,-46.7339,0.7329,632,93,-906.1114,-105.3073
8qlv_B,af3,18.1217,-54.3938,0.7434,631,85,-1161.1168,-72.5155
8qm0_E,af3,132.96,-15.21,0.6608,637,96,-719.8221,-148.17000000000002
8qxw_B,af3,27.5525,-42.969,0.7772,433,58,-168.947,-70.5215
8r10_C,af3,-0.1807,-28.0345,0.7788,270,36,-354.3377,-27.8538
8r18_C,af3,21.2864,-15.3541,0.7937,282,41,-379.2356,-36.6405
8r1n_C,af3,7.0603,-22.4059,0.7894,279,36,-388.1049,-29.4662
8r1p_C,af3,2.3222,-28.1211,0.7896,276,38,-264.714,-30.443299999999997
8r1t_D,af3,8.2264,-21.5466,0.791,281,36,-429.7945,-29.773000000000003
8ral_C,af3,2.2851,-79.1397,0.7784,365,84,-84.0063,-81.4248
8rbu_C,af3,15.1964,-45.7807,0.6985,385,74,-355.2804,-60.97710000000001
8rbv_C,af3,28.6304,-54.916,0.8246,385,71,-447.3887,-83.5464
8rcv_C,af3,-3.7273,-59.7881,0.7008,385,70,-642.2603,-56.0608
8ref_C,af3,16.4148,-46.9397,0.6898,384,69,-514.1169,-63.3545
8rhq_G,af3,-11.0581,-61.6239,0.7081,382,72,-460.1934,-50.565799999999996
8rlt_C,af3,55.1997,-58.2005,0.6766,809,88,306.6525,-113.4002
8rlu_C,af3,74.2342,-62.7288,0.685,814,90,312.4868,-136.963
8rlv_C,af3,80.8921,-48.9761,0.6894,809,88,846.5633,-129.8682
8rmo_F,af3,0.7399,-23.7786,0.717,422,29,-338.9141,-24.5185
8rng_C,af3,0.7056,-55.1142,0.7063,384,66,-621.8262,-55.819799999999994
8rnh_C,af3,36.2535,-53.2654,0.6917,385,67,-466.0872,-89.5189
8roo_B,af3,3.3264,-56.104,0.7215,384,65,-575.2103,-59.4304
8rop_C,af3,-2.8141,-50.613,0.728,384,69,-710.9394,-47.7989
8rte_D,af3,54.845,-39.1123,0.7321,356,59,-209.7089,-93.9573
8ru3_P,af3,-4.6291,-43.6032,0.7293,519,38,-693.3016,-38.9741
8rxb_B,af3,36.3735,-19.1862,0.6899,155,34,190.6621,-55.5597
8rym_C,af3,10.6745,-55.6992,0.7054,799,87,-466.2183,-66.3737
8ryn_C,af3,-14.7999,-62.1499,0.7345,809,87,-923.042,-47.35
8ryo_C,af3,-2.0215,-58.2596,0.7045,809,89,-767.1865,-56.238099999999996
8ryp_C,af3,-20.1649,-62.0181,0.6961,812,89,-916.7687,-41.8532
8ryq_C,af3,36.4427,-55.5125,0.7077,810,89,-97.504,-91.9552
8s6n_C,af3,404.0822,303.9401,0.7889,126,34,335.0888,-100.14210000000003
8s6o_B,af3,110.238,30.7677,0.7551,121,28,397.0245,-79.4703
8s6u_C,af3,33.833,-52.658,0.7121,163,65,-35.198,-86.491
8s8o_C,af3,121.9907,-17.105,0.6532,132,71,277.295,-139.0957
8sao_A,af3,269.9485,4.3613,0.5849,859,45,3892.4228,-265.58720000000005
8sbk_C,af3,23.3014,-71.6,0.7728,384,71,-456.0718,-94.9014
8sbl_C,af3,78.0561,-39.2725,0.7284,385,71,804.8965,-117.3286
8sf8_B,af3,18.7372,-53.1872,0.7355,356,64,-232.2575,-71.92439999999999
8sgf_Z,af3,43.1988,-26.9726,0.777,332,59,-437.088,-70.1714
8sm5_B,af3,35.7021,-35.5743,0.6774,174,52,-120.1279,-71.2764
8smo_B,af3,84.9296,-45.158,0.7234,94,59,96.7986,-130.0876
8sr6_B,af3,79.3474,-34.6606,0.7226,466,85,-179.5589,-114.008
8sud_B,af3,35.4365,-33.8014,0.7507,433,60,-188.3554,-69.2379
8suv_I,af3,6.8136,-45.5229,0.762,137,47,-91.7193,-52.3365
8sz2_P,af3,-6.0326,-26.5122,0.8169,246,29,-304.3825,-20.479599999999998
8t0p_C,af3,12.9128,-46.5167,0.7253,277,47,58.7746,-59.429500000000004
8t2n_D,af3,17.7766,-19.3644,0.7169,134,38,-27.1571,-37.141
8t31_B,af3,27.0715,-48.8287,0.797,128,44,-106.0977,-75.9002
8t32_B,af3,12.8353,-35.1937,0.7454,125,38,-57.8714,-48.028999999999996
8t33_B,af3,-21.4539,-38.6055,0.7862,124,33,-208.045,-17.1516
8t51_E,af3,25.4728,-44.2028,0.7818,450,66,-412.3272,-69.6756
8t59_E,af3,15.6459,-47.1948,0.7603,443,62,-363.5363,-62.8407
8t5e_B,af3,246.5297,-19.4296,0.6389,152,70,412.8874,-265.9593
8t5p_G,af3,104.4694,-16.03,0.6368,195,36,348.8531,-120.4994
8t5q_G,af3,26.1052,-19.9276,0.8253,173,39,-65.6838,-46.0328
8t8g_B,af3,13.8339,-31.837,0.8187,163,47,-220.2131,-45.6709
8t8s_C,af3,96.1391,-50.379,0.7421,652,89,7.9695,-146.5181
8tbv_C,af3,50.0605,-30.2065,0.7612,384,66,-214.9076,-80.267
8tbw_C,af3,19.6549,-45.3911,0.7734,384,66,-470.894,-65.046
8tdx_E,af3,6.6439,-49.2006,0.7674,442,50,162.3459,-55.844500000000004
8tee_C,af3,86.6656,-29.5264,0.7297,432,51,909.6847,-116.192
8tfu_C,af3,7.2537,-59.024,0.7783,159,46,-144.8213,-66.2777
8tg7_C,af3,29.1641,-58.2063,0.7704,152,44,-85.2257,-87.3704
8tg8_B,af3,11.2141,-39.056,0.7872,77,31,-17.0115,-50.2701
8tgc_C,af3,59.7572,-41.332,0.7493,159,49,-112.0762,-101.0892
8tgp_B,af3,21.7992,-25.4653,0.7889,281,30,-63.5099,-47.2645
8th1_H,af3,63.4557,-34.6943,0.7721,151,54,60.4014,-98.15
8th5_N,af3,220.2913,101.5875,0.717,138,45,438.7123,-118.7038
8th6_E,af3,75.2235,-37.1269,0.7671,147,47,209.6431,-112.35040000000001
8th7_C,af3,87.3748,-45.8311,0.7551,152,56,373.6448,-133.20589999999999
8ti7_H,af3,78.1443,-23.3956,0.734,144,40,-27.3901,-101.5399
8tmz_A,af3,32.701,-38.8139,0.78,435,47,13.3486,-71.5149
8toq_E,af3,109.2834,-32.2629,0.7193,604,62,-103.8449,-141.5463
8tor_E,af3,123.5814,-39.2559,0.6885,603,73,-144.9499,-162.8373
8tos_E,af3,111.0429,-24.7865,0.776,603,54,-120.7596,-135.8294
8tot_C,af3,211.4245,-34.7773,0.684,609,86,576.6219,-246.2018
8tq9_P,af3,116.4923,-42.0791,0.7407,384,69,735.0146,-158.57139999999998
8tqa_P,af3,105.2896,-25.9528,0.7983,376,70,479.6338,-131.2424
8tuq_B,af3,-16.7174,-80.1302,0.7435,447,98,-531.9275,-63.412800000000004
8tut_B,af3,94.1402,-25.8905,0.7578,434,58,75.0387,-120.0307
8tuv_B,af3,14.5863,-31.0597,0.6906,438,35,-138.3081,-45.646
8tx8_C,af3,58.8124,-37.1972,0.7854,385,54,62.8215,-96.0096
8u1z_B,af3,36.5663,-19.3725,0.8116,136,45,-134.5083,-55.9388
8u26_S,af3,121.0365,-40.1129,0.5873,295,59,246.7879,-161.1494
8u2m_D,af3,49.9111,-30.7421,0.7253,385,55,-577.9367,-80.6532
8u2y_A,af3,28.382,-16.6825,0.7166,69,37,173.2641,-45.0645
8u77_B,af3,62.6837,-79.0654,0.6729,163,74,-80.8216,-141.7491
8u9g_C,af3,69.5587,-29.7849,0.7151,384,65,-9.3732,-99.34360000000001
8ui6_B,af3,18.6685,-9.6931,0.7077,533,39,-195.2136,-28.361600000000003
8ujh_C,af3,78.5383,-2.3618,0.7438,533,50,-47.4922,-80.90010000000001
8umo_P,af3,77.1018,-61.6518,0.754,614,84,483.5607,-138.7536
8v5y_C,af3,3.4149,-40.5819,0.8559,270,57,-346.509,-43.9968
8v8e_C,af3,56.2184,-12.0955,0.5018,381,33,-28.0989,-68.3139
8vcx_C,af3,97.1943,-63.7165,0.6161,821,102,-453.3634,-160.9108
8vcy_C,af3,59.8228,-64.4026,0.7061,803,104,-501.4238,-124.22540000000001
8vd2_C,af3,80.3861,-55.456,0.6568,805,99,-2.6943,-135.84210000000002
8vdd_C,af3,55.9117,-44.9383,0.618,375,80,90.4162,-100.85
8vgc_P,af3,13.5263,-48.1883,0.6954,158,51,-113.2415,-61.7146
8vgd_P,af3,45.4686,-38.4927,0.6677,155,47,-22.2275,-83.9613
8vjp_B,af3,-8.3587,-47.1038,0.7802,165,50,-136.1292,-38.7451
8vju_C,af3,28.9472,-31.4383,0.7287,671,54,-887.7688,-60.3855
8vjx_C,af3,84.8597,-6.7168,0.7142,671,55,-47.8526,-91.57650000000001
8vjy_B,af3,92.4747,7.6829,0.6463,671,59,-638.5802,-84.7918
8vkz_E,af3,57.7547,-32.9441,0.8174,497,39,244.8762,-90.6988
8vmf_B,af3,8.5461,-47.3879,0.7785,374,46,-184.8399,-55.934
8vpr_B,af3,35.3814,-22.5252,0.7867,427,41,39.1644,-57.9066
8vsj_P,af3,63.0911,-68.4215,0.7201,718,86,580.5025,-131.5126
8vy8_C,af3,48.2302,-37.4198,0.8175,87,35,76.8766,-85.65
8w6a_H,af3,17.5643,-50.9981,0.7041,143,50,-140.182,-68.5624
8w6l_C,af3,105.4075,-39.2853,0.7927,379,68,478.8984,-144.6928
8wee_B,af3,86.3122,-9.1569,0.8103,660,73,-845.9783,-95.4691
8wef_C,af3,84.9356,23.702,0.6982,649,43,254.2952,-61.233599999999996
8wg8_E,af3,40.881,-13.2278,0.5071,280,33,525.653,-54.1088
8wul_K,af3,-18.6341,-59.4167,0.7383,794,85,-475.9151,-40.7826
8wxq_C,af3,10.5952,-58.18,0.8296,311,61,66.4282,-68.7752
8wxr_C,af3,37.3806,-37.7443,0.8218,313,54,-297.159,-75.1249
8wxt_C,af3,1.2802,-48.6984,0.7817,313,55,-370.4192,-49.9786
8wxu_D,af3,32.8895,-41.219,0.699,313,55,-56.6018,-74.10849999999999
8wxv_B,af3,45.6849,-22.1158,0.8071,309,50,-208.7019,-67.8007
8wxw_P,af3,7.6922,-21.7195,0.6846,1083,43,-1142.7119,-29.4117
8wxx_C,af3,18.394,-44.2099,0.7678,312,55,-318.4736,-62.603899999999996
8wxz_P,af3,64.3471,-23.4718,0.6759,1085,53,-312.4098,-87.8189
8x8a_B,af3,40.975,-49.2447,0.7984,130,45,-113.8645,-90.2197
8y74_C,af3,17.2048,-63.5067,0.8222,378,69,-283.4302,-80.7115
8yhz_P,af3,18.5526,-30.8786,0.7699,442,41,-523.1249,-49.431200000000004
8ym2_B,af3,52.686,-52.0873,0.8034,158,58,168.4469,-104.7733
8zps_L,af3,254.9359,6.6984,0.4613,309,80,674.4469,-248.2375
8zpt_L,af3,117.691,-6.102,0.3546,312,64,579.6115,-123.793
9atn_B,af3,128.6732,4.4032,0.5753,117,55,386.0239,-124.27000000000001
9ax9_C,af3,20.6067,-30.0773,0.8389,187,47,-243.1398,-50.684
9c66_B,af3,5.0862,-14.2757,0.7207,115,27,-46.655,-19.3619
9ck0_B,af3,79.021,-14.3788,0.6374,281,37,332.9407,-93.3998
9cwn_B,af3,37.4486,-27.3515,0.7714,277,36,3.6589,-64.8001
9dw6_C,af3,2.1676,-52.3945,0.7937,609,60,-584.5183,-54.5621
9eyr_B,af3,81.077,-7.1243,0.78,249,35,227.1042,-88.2013
9ez1_B,af3,60.1343,-27.3049,0.7866,249,35,4.5228,-87.4392
9ez2_B,af3,40.2229,-30.2057,0.7884,250,37,-63.9027,-70.4286
9f7w_B,af3,0.8747,-41.2318,0.8014,284,40,-371.1988,-42.1065
9f7x_B,af3,-1.1948,-34.5922,0.8075,276,37,4.4096,-33.3974
9fj4_B,af3,14.629,-69.4538,0.7744,113,59,-142.7365,-84.0828
9g13_B,af3,31.5955,-50.0758,0.7097,275,53,181.2953,-81.6713
9gag_B,af3,69.5481,-26.913,0.6782,306,37,41.5178,-96.4611
8j4g_C,af3,70.5557,-43.6377,0.6846,379,66,332.5378,-114.1934
8jqt_C,af3,22.5477,-39.5676,0.7414,380,68,2.7071,-62.1153
8kb0_C,af3,160.4697,-17.759,0.723,379,69,675.4704,-178.2287
8kb1_C,af3,175.0615,-2.8365,0.6851,381,68,740.2885,-177.898
8kcv_C,af3,107.0086,-37.6185,0.691,381,68,483.0134,-144.62709999999998
8ttt_B,af3,75.9853,-13.8973,0.6516,260,25,482.5203,-89.8826
8ttu_B,af3,114.3461,-7.33,0.7258,261,28,569.7933,-121.6761
8u51_B,af3,87.3162,-31.3918,0.721,277,52,34.4591,-118.708
8w5z_B,af3,40.7761,-32.7018,0.7679,678,41,-305.4722,-73.4779
8wo9_C,af3,43.027,-36.8188,0.7577,380,68,-319.6441,-79.8458
8gjf_D,af3,-14.6194,-57.4329,0.7662,777,44,22.9211,-42.8135
8skj_E,af3,13.3553,-48.7939,0.8205,134,51,50.4741,-62.1492
8tq7_P,af3,133.7905,-39.1959,0.7235,382,71,561.0953,-172.9864
8tq8_P,af3,143.2993,-37.0237,0.7491,382,72,833.3024,-180.32299999999998
8v9q_F,af3,97.9987,-12.3007,0.694,464,64,2145.1263,-110.2994
8wte_J,af3,-17.4724,-64.3884,0.7682,801,86,-785.9253,-46.916000000000004
