job_name,pdb_id,peptide_chains,protein_chains,peptide_chain_len,peptide_chain_has_ncaa,msa_status_af3,infer_status_af3
8q1q_D,8q1q,D,A,14,True,done,done
8q1r_E,8q1r,E,A,11,True,done,done
8q26_E,8q26,E,A,8,False,done,done
8q2z_C,8q2z,C,A,8,False,done,done
8q3s_C,8q3s,C,A,8,False,done,done
8q3t_C,8q3t,C,A,10,False,done,done
8q5p_B,8q5p,B,A,12,False,done,done
8q5s_B,8q5s,B,A,20,False,done,done
8q6d_B,8q6d,B,A,20,False,done,done
8q6e_B,8q6e,B,A,20,False,done,done
8q7i_P,8q7i,P,A,15,False,done,done
8q7k_C,8q7k,C,A,9,False,done,done
8qlg_C,8qlg,C,B,6,False,done,done
8qlk_B,8qlk,B,A,11,False,done,done
8qlm_C,8qlm,C,A,11,False,done,done
8qlv_B,8qlv,B,A,10,False,done,done
8qm0_E,8qm0,E,A,10,False,done,done
8qxw_B,8qxw,B,A,24,False,done,done
8r10_C,8r10,C,A,14,False,done,done
8r18_C,8r18,C,A,14,False,done,done
8r1n_C,8r1n,C,A,14,False,done,done
8r1p_C,8r1p,C,A,14,False,done,done
8r1t_D,8r1t,D,A,14,False,done,done
8ral_C,8ral,C,A:B,13,False,done,done
8rbu_C,8rbu,C,A:B,10,False,done,done
8rbv_C,8rbv,C,A:B,9,False,done,done
8rcv_C,8rcv,C,A:B,10,False,done,done
8ref_C,8ref,C,A:B,10,False,done,done
8rhq_G,8rhq,G,A:B,10,False,done,done
8rlt_C,8rlt,C,A:B:D:E,9,False,done,done
8rlu_C,8rlu,C,A:B:D:E,9,False,done,done
8rlv_C,8rlv,C,A:B:D:E,9,False,done,done
8rmo_F,8rmo,F,H:L,8,False,done,done
8rng_C,8rng,C,A:B,8,False,done,done
8rnh_C,8rnh,C,A:B,9,False,done,done
8roo_B,8roo,B,A:C,8,False,done,done
8rop_C,8rop,C,A:B,8,False,done,done
8rte_D,8rte,D,A,6,False,done,done
8ru3_P,8ru3,P,A,14,True,done,done
8rxb_B,8rxb,B,A,15,False,done,done
8rym_C,8rym,C,A:B:D:E,9,False,done,done
8ryn_C,8ryn,C,A:B:D:E,9,False,done,done
8ryo_C,8ryo,C,A:B:D:E,9,False,done,done
8ryp_C,8ryp,C,A:B:D:E,9,False,done,done
8ryq_C,8ryq,C,A:B:D:E,9,False,done,done
8s6n_C,8s6n,C,B,9,False,done,done
8s6o_B,8s6o,B,A,6,False,done,done
8s6u_C,8s6u,C,A:D:Q,15,False,done,done
8s8o_C,8s8o,C,A:B,28,False,done,done
8sao_A,8sao,A,B,14,False,done,done
8sbk_C,8sbk,C,A:B,9,False,done,done
8sbl_C,8sbl,C,A:B,9,False,done,done
8sf8_B,8sf8,B,A,20,False,done,done
8sgf_Z,8sgf,Z,A,15,False,done,done
8sm5_B,8sm5,B,A,18,False,done,done
8smo_B,8smo,B,A,22,False,done,done
8sr6_B,8sr6,B,A,15,False,done,done
8sud_B,8sud,B,A,23,False,done,done
8suv_I,8suv,I,D,12,False,done,done
8sz2_P,8sz2,P,A,6,False,done,done
8t0p_C,8t0p,C,A:B,18,False,done,done
8t2n_D,8t2n,D,C,24,False,done,done
8t31_B,8t31,B,A,15,False,done,done
8t32_B,8t32,B,A,14,False,done,done
8t33_B,8t33,B,A,15,False,done,done
8t51_E,8t51,E,A:B,20,False,done,done
8t59_E,8t59,E,A:B,19,False,done,done
8t5e_B,8t5e,B,A,26,False,done,done
8t5p_G,8t5p,G,A,5,False,done,done
8t5q_G,8t5q,G,A,5,False,done,done
8t8g_B,8t8g,B,A,6,False,done,done
8t8s_C,8t8s,C,A,16,False,done,done
8tbv_C,8tbv,C,A:B,9,False,done,done
8tbw_C,8tbw,C,A:B,9,False,done,done
8tdx_E,8tdx,E,A:D,8,False,done,done
8tee_C,8tee,C,A,15,False,done,done
8tfu_C,8tfu,C,A:B:D,10,False,done,done
8tg7_C,8tg7,C,A:B:D,10,False,done,done
8tg8_B,8tg8,B,A,10,False,done,done
8tgc_C,8tgc,C,A:B:D,10,False,done,done
8tgp_B,8tgp,B,A,13,False,done,done
8th1_H,8th1,H,D,25,False,done,done
8th5_N,8th5,N,D,25,False,done,done
8th6_E,8th6,E,D,24,False,done,done
8th7_C,8th7,C,A,22,False,done,done
8ti7_H,8ti7,H,G,12,False,done,done
8tmz_A,8tmz,A,H:L,27,False,done,done
8toq_E,8toq,E,A,15,True,done,done
8tor_E,8tor,E,A,15,True,done,done
8tos_E,8tos,E,A,17,True,done,done
8tot_C,8tot,C,A,15,True,done,done
8tq9_P,8tq9,P,A:B,10,False,done,done
8tqa_P,8tqa,P,A:B,9,False,done,done
8tuq_B,8tuq,B,A,21,False,done,done
8tut_B,8tut,B,A,9,False,done,done
8tuv_B,8tuv,B,A:C,11,False,done,done
8tx8_C,8tx8,C,B,13,True,done,done
8u1z_B,8u1z,B,A,14,False,done,done
8u26_S,8u26,S,R,11,False,done,done
8u2m_D,8u2m,D,A,5,False,done,done
8u2y_A,8u2y,A,B,9,False,done,done
8u77_B,8u77,B,A:C:D,12,False,done,done
8u9g_C,8u9g,C,A:B,9,False,done,done
8ui6_B,8ui6,B,A,16,False,done,done
8ujh_C,8ujh,C,A,17,False,done,done
8umo_P,8umo,P,A:B:J:K,9,False,done,done
8v5y_C,8v5y,C,A:B,6,False,done,done
8v8e_C,8v8e,C,A:B,9,False,done,done
8vcx_C,8vcx,C,A:B:D:E,15,False,done,done
8vcy_C,8vcy,C,A:B:D:E,15,False,done,done
8vd2_C,8vd2,C,A:B:D:E,15,False,done,done
8vdd_C,8vdd,C,A:B,15,False,done,done
8vgc_P,8vgc,P,A:B,10,False,done,done
8vgd_P,8vgd,P,A:B,9,False,done,done
8vjp_B,8vjp,B,A,15,True,done,done
8vju_C,8vju,C,A,13,False,done,done
8vjx_C,8vjx,C,A,9,False,done,done
8vjy_B,8vjy,B,A,14,False,done,done
8vkz_E,8vkz,E,A:B:D,14,False,done,done
8vmf_B,8vmf,B,A,24,False,done,done
8vpr_B,8vpr,B,A,16,False,done,done
8vsj_P,8vsj,P,A:B:C:H:L,15,False,done,done
8vy8_C,8vy8,C,A,13,False,done,done
8w6a_H,8w6a,H,G,29,False,done,done
8w6l_C,8w6l,C,A:B,9,False,done,done
8wee_B,8wee,B,A,13,False,done,done
8wef_C,8wef,C,A,13,False,done,done
8wg8_E,8wg8,E,R,17,False,done,done
8wul_K,8wul,K,A:B:I:J,9,False,done,done
8wxq_C,8wxq,C,A,12,False,done,done
8wxr_C,8wxr,C,A,12,False,done,done
8wxt_C,8wxt,C,A,12,False,done,done
8wxu_D,8wxu,D,B,12,False,done,done
8wxv_B,8wxv,B,A,10,False,done,done
8wxw_P,8wxw,P,A,14,False,done,done
8wxx_C,8wxx,C,B,10,False,done,done
8wxz_P,8wxz,P,A,15,False,done,done
8x8a_B,8x8a,B,A,19,False,done,done
8y74_C,8y74,C,A:B,9,False,done,done
8yhz_P,8yhz,P,H:L,11,False,done,done
8ym2_B,8ym2,B,A,11,False,done,done
8zps_L,8zps,L,R,21,True,done,done
8zpt_L,8zpt,L,R,21,True,done,done
9atn_B,9atn,B,A,19,False,done,done
9ax9_C,9ax9,C,A,6,False,done,done
9c66_B,9c66,B,A,10,False,done,done
9ck0_B,9ck0,B,A,23,False,done,done
9cwn_B,9cwn,B,A,23,False,done,done
9dw6_C,9dw6,C,A:B,11,False,done,done
9eyr_B,9eyr,B,A,15,False,done,done
9ez1_B,9ez1,B,A,13,False,done,done
9ez2_B,9ez2,B,A,13,False,done,done
9f7w_B,9f7w,B,A,19,False,done,done
9f7x_B,9f7x,B,A,19,False,done,done
9fj4_B,9fj4,B,A:C,20,False,done,done
9g13_B,9g13,B,A:C:F,13,False,done,done
9gag_B,9gag,B,A,9,False,done,done
8j4g_C,8j4g,C,A:B,9,False,done,done
8jqt_C,8jqt,C,A:B,9,False,done,done
8kb0_C,8kb0,C,A:B,9,False,done,done
8kb1_C,8kb1,C,A:B,9,False,done,done
8kcv_C,8kcv,C,A:B,9,False,done,done
8ttt_B,8ttt,B,A,17,False,done,done
8ttu_B,8ttu,B,A,14,False,done,done
8u51_B,8u51,B,A,10,False,done,done
8w5z_B,8w5z,B,A:C:D,11,False,done,running
8wo9_C,8wo9,C,A:B,9,False,done,done
8gjf_D,8gjf,D,A:B:C,15,False,done,running
8skj_E,8skj,E,A,14,False,done,done
8tq7_P,8tq7,P,A:B,10,False,done,done
8tq8_P,8tq8,P,A:B,10,False,done,done
8v9q_F,8v9q,F,B,16,False,done,running
8wte_J,8wte,J,A:B:H:I,9,False,done,running
